ID,year,age,sex,race,fam_income,has_partner,education,child_in_HH,n_child,age_youngest,region,partner_working,elder_in_HH,metropolitan,labor_force_status
20100101100050,2010,69,female,other,25000,FALSE,Some college,FALSE,0,0,West,"NA",FALSE,non-metropolitan,not in labor force
20100101100098,2010,49,female,black,0,FALSE,Did not graduate from HS,FALSE,0,0,South,"NA",FALSE,non-metropolitan,not in labor force
20100101100538,2010,63,female,white,30000,FALSE,Some college,FALSE,0,0,South,"NA",FALSE,metropolitan,employed - at work
20100101100675,2010,74,female,white,75000,TRUE,Some college,FALSE,0,0,Northeast,not employed,FALSE,metropolitan,not in labor force
20100101100790,2010,62,female,white,35000,FALSE,Masters,FALSE,0,0,Northeast,"NA",FALSE,metropolitan,not in labor force
20100101100876,2010,35,female,white,75000,TRUE,Bachelors,FALSE,0,0,Northeast,employed,FALSE,metropolitan,employed - at work
20100101101024,2010,75,female,white,15000,FALSE,Did not graduate from HS,TRUE,2,0,West,"NA",FALSE,non-metropolitan,not in labor force
20100101101200,2010,25,female,white,35000,FALSE,HS,TRUE,2,15,Northeast,"NA",TRUE,non-metropolitan,employed - at work
20100101101217,2010,76,female,white,30000,FALSE,HS,FALSE,0,0,Northeast,"NA",FALSE,metropolitan,not in labor force
20100101101235,2010,18,male,white,15000,FALSE,Did not graduate from HS,FALSE,0,0,West,"NA",TRUE,metropolitan,unemployed - looking
20100101101375,2010,77,female,white,15000,FALSE,Some college,FALSE,0,0,West,"NA",FALSE,metropolitan,not in labor force
20100101101423,2010,61,female,white,60000,TRUE,Masters,FALSE,0,0,Midwest,employed,FALSE,metropolitan,employed - at work
20100101101509,2010,41,male,other,75000,FALSE,Masters,FALSE,0,0,West,"NA",FALSE,metropolitan,employed - at work
20100101101566,2010,28,female,white,35000,FALSE,Bachelors,FALSE,0,0,South,"NA",FALSE,metropolitan,employed - at work
20100101101592,2010,52,female,black,12500,FALSE,HS,FALSE,0,0,Northeast,"NA",FALSE,metropolitan,employed - at work
20100101101754,2010,36,female,white,20000,FALSE,Did not graduate from HS,TRUE,1,8,West,"NA",FALSE,metropolitan,employed - at work
20100101102067,2010,80,female,white,20000,FALSE,HS,FALSE,0,0,South,"NA",FALSE,metropolitan,not in labor force
20100101102083,2010,48,male,white,25000,FALSE,Some college,FALSE,0,0,West,"NA",FALSE,non-metropolitan,employed - at work
20100101102152,2010,65,male,white,100000,TRUE,Did not graduate from HS,FALSE,0,0,West,employed,FALSE,metropolitan,not in labor force
20100101102197,2010,52,female,white,30000,TRUE,HS,FALSE,0,0,Northeast,not employed,FALSE,metropolitan,employed - at work
20100101102225,2010,80,female,white,20000,FALSE,HS,FALSE,0,0,West,"NA",FALSE,metropolitan,not in labor force
20100101102327,2010,80,male,white,40000,FALSE,Bachelors,FALSE,0,0,West,"NA",FALSE,metropolitan,not in labor force
20100101102373,2010,67,female,white,50000,FALSE,Bachelors,FALSE,0,0,Midwest,"NA",FALSE,metropolitan,not in labor force
20100101102420,2010,64,male,white,25000,TRUE,Bachelors,FALSE,0,0,Midwest,employed,FALSE,non-metropolitan,employed - at work
20100101102448,2010,53,female,black,25000,TRUE,HS,FALSE,0,0,Northeast,employed,FALSE,metropolitan,employed - at work
20100110091939,2010,54,male,white,40000,TRUE,HS,FALSE,0,0,Midwest,employed,FALSE,metropolitan,employed - at work
20100111090547,2010,26,female,white,30000,FALSE,HS,TRUE,3,2,Northeast,"NA",FALSE,metropolitan,employed - at work
20100111090553,2010,34,female,white,25000,FALSE,Bachelors,TRUE,2,1,West,"NA",FALSE,metropolitan,not in labor force
20100111090557,2010,67,female,white,60000,TRUE,HS,FALSE,0,0,West,not employed,FALSE,metropolitan,not in labor force
20100111090685,2010,22,male,white,100000,FALSE,Some college,FALSE,0,0,South,"NA",TRUE,metropolitan,employed - at work
20100111090728,2010,18,male,white,75000,FALSE,HS,TRUE,1,16,Northeast,"NA",TRUE,metropolitan,employed - at work
20100111090803,2010,38,male,white,150000,TRUE,Bachelors,TRUE,1,6,Northeast,employed,FALSE,metropolitan,employed - at work
20100111091028,2010,16,female,white,60000,FALSE,Did not graduate from HS,TRUE,1,16,West,"NA",TRUE,metropolitan,unemployed - looking
20100111091059,2010,50,female,white,150000,TRUE,HS,TRUE,2,11,South,employed,FALSE,metropolitan,employed - at work
20100111091069,2010,49,female,black,150000,TRUE,Some college,FALSE,0,0,South,employed,TRUE,metropolitan,employed - at work
20100111091072,2010,56,male,white,15000,TRUE,Did not graduate from HS,FALSE,0,0,South,employed,FALSE,non-metropolitan,employed - at work
20100111091086,2010,59,female,white,60000,TRUE,Did not graduate from HS,FALSE,0,0,West,not employed,FALSE,metropolitan,employed - absent
20100111091111,2010,53,female,white,0,FALSE,Bachelors,TRUE,2,1,West,"NA",FALSE,metropolitan,employed - at work
20100111091116,2010,46,male,white,75000,FALSE,Bachelors,FALSE,0,0,West,"NA",FALSE,metropolitan,employed - at work
20100111091206,2010,70,female,white,60000,TRUE,Masters,FALSE,0,0,West,employed,FALSE,non-metropolitan,not in labor force
20100111091329,2010,46,male,white,40000,FALSE,HS,TRUE,1,4,South,"NA",TRUE,metropolitan,unemployed - looking
20100111091397,2010,47,female,white,25000,TRUE,HS,TRUE,1,12,Northeast,employed,FALSE,metropolitan,not in labor force
20100111091437,2010,59,male,white,40000,TRUE,Masters,TRUE,5,0,South,not employed,FALSE,non-metropolitan,employed - at work
20100111091449,2010,80,female,white,15000,TRUE,HS,FALSE,0,0,South,not employed,FALSE,metropolitan,not in labor force
20100111091614,2010,61,female,white,40000,TRUE,HS,FALSE,0,0,Midwest,employed,FALSE,metropolitan,employed - at work
20100111091699,2010,18,female,white,0,FALSE,Did not graduate from HS,TRUE,1,12,Midwest,"NA",TRUE,metropolitan,employed - at work
20100111091703,2010,16,male,white,75000,FALSE,Did not graduate from HS,TRUE,1,16,South,"NA",TRUE,metropolitan,not in labor force
20100111091816,2010,44,female,white,50000,TRUE,Some college,TRUE,1,17,Midwest,employed,FALSE,metropolitan,employed - at work
20100111091875,2010,40,female,white,30000,FALSE,Bachelors,TRUE,3,7,South,"NA",FALSE,metropolitan,employed - at work
20100111091912,2010,23,male,white,12500,TRUE,Did not graduate from HS,TRUE,3,2,West,not employed,TRUE,metropolitan,employed - at work
20100111092040,2010,25,female,white,50000,TRUE,Some college,FALSE,0,0,South,employed,FALSE,metropolitan,employed - at work
20100111092211,2010,41,female,black,15000,TRUE,Some college,TRUE,1,11,South,not employed,FALSE,metropolitan,unemployed - looking
20100111092241,2010,48,male,black,40000,FALSE,Did not graduate from HS,FALSE,0,0,South,"NA",FALSE,metropolitan,unemployed - looking
20100111092512,2010,16,female,white,150000,FALSE,Did not graduate from HS,TRUE,1,16,West,"NA",TRUE,metropolitan,not in labor force
20100112090017,2010,41,male,white,35000,TRUE,Did not graduate from HS,TRUE,1,14,South,employed,FALSE,non-metropolitan,employed - at work
20100112090021,2010,25,male,white,25000,TRUE,HS,FALSE,0,0,South,employed,FALSE,non-metropolitan,employed - at work
20100112090030,2010,51,male,black,0,FALSE,HS,FALSE,0,0,Midwest,"NA",FALSE,metropolitan,unemployed - looking
20100112090056,2010,46,male,white,5000,TRUE,Did not graduate from HS,TRUE,4,2,South,not employed,FALSE,non-metropolitan,unemployed - looking
20100112090126,2010,30,male,white,35000,FALSE,Bachelors,FALSE,0,0,South,"NA",FALSE,metropolitan,employed - at work
20100112090133,2010,69,male,white,35000,FALSE,HS,FALSE,0,0,South,"NA",FALSE,metropolitan,not in labor force
20100112090148,2010,25,female,black,7500,FALSE,Did not graduate from HS,TRUE,2,2,Midwest,"NA",FALSE,metropolitan,employed - at work
20100112090152,2010,48,male,white,75000,TRUE,Bachelors,TRUE,3,9,West,not employed,FALSE,metropolitan,employed - at work
20100112090505,2010,26,female,white,150000,FALSE,Bachelors,TRUE,1,8,Midwest,"NA",TRUE,metropolitan,employed - at work
20100112090511,2010,28,female,white,35000,FALSE,Masters,FALSE,0,0,South,"NA",FALSE,metropolitan,employed - at work
20100112090529,2010,85,male,asian,7500,TRUE,Bachelors,FALSE,0,0,South,not employed,FALSE,metropolitan,not in labor force
20100112090532,2010,66,female,white,7500,FALSE,HS,FALSE,0,0,Midwest,"NA",FALSE,metropolitan,not in labor force
20100112090546,2010,59,female,white,150000,TRUE,Bachelors,FALSE,0,0,West,employed,FALSE,metropolitan,employed - at work
20100112090552,2010,46,male,black,25000,FALSE,HS,FALSE,0,0,South,"NA",FALSE,metropolitan,employed - at work
20100112090556,2010,77,male,white,50000,TRUE,HS,FALSE,0,0,Midwest,not employed,FALSE,metropolitan,employed - at work
