ID,pair_id,cluster,time
20040502041305,1,Cluster 1  | n =  1753,t1
20040502041317,2,Cluster 4  | n =  1227,t1
20040503040626,3,Cluster 3  | n =  151,t1
20040503040638,4,Cluster 1  | n =  1753,t1
20040503040651,5,Cluster 1  | n =  1753,t1
20040503040657,6,Cluster 4  | n =  1227,t1
20040503040696,7,Cluster 1  | n =  1753,t1
20040503040801,8,Cluster 1  | n =  1753,t1
20040503040840,9,Cluster 3  | n =  151,t1
20040503040996,11,Cluster 1  | n =  1753,t1
20040503041045,12,Cluster 1  | n =  1753,t1
20040503041065,13,Cluster 4  | n =  1227,t1
20040503041100,14,Cluster 1  | n =  1753,t1
20040503041122,15,Cluster 1  | n =  1753,t1
20040503041124,16,Cluster 1  | n =  1753,t1
20040503041127,17,Cluster 1  | n =  1753,t1
20040503041131,18,Cluster 1  | n =  1753,t1
20040503041208,19,Cluster 4  | n =  1227,t1
20040503041248,20,Cluster 1  | n =  1753,t1
20040503041254,21,Cluster 1  | n =  1753,t1
20040503041346,22,Cluster 1  | n =  1753,t1
20040503041350,23,Cluster 1  | n =  1753,t1
20040503041375,24,Cluster 2  | n =  367,t1
20040503041378,25,Cluster 1  | n =  1753,t1
20040503041400,26,Cluster 4  | n =  1227,t1
20040503041416,27,Cluster 2  | n =  367,t1
20040503041454,28,Cluster 1  | n =  1753,t1
20040503041499,29,Cluster 1  | n =  1753,t1
20040503041514,30,Cluster 2  | n =  367,t1
20040503041519,31,Cluster 1  | n =  1753,t1
20040503041538,32,Cluster 1  | n =  1753,t1
20040503041543,33,Cluster 1  | n =  1753,t1
20040503041546,34,Cluster 1  | n =  1753,t1
20040503041562,35,Cluster 1  | n =  1753,t1
20040503041583,36,Cluster 1  | n =  1753,t1
20040503041598,37,Cluster 1  | n =  1753,t1
20040503041737,39,Cluster 1  | n =  1753,t1
20040503041739,40,Cluster 2  | n =  367,t1
20040503041741,41,Cluster 1  | n =  1753,t1
20040503041784,42,Cluster 1  | n =  1753,t1
20040503041788,43,Cluster 4  | n =  1227,t1
20040503041822,44,Cluster 1  | n =  1753,t1
20040503041830,45,Cluster 1  | n =  1753,t1
20040503041879,46,Cluster 4  | n =  1227,t1
20040503041936,47,Cluster 4  | n =  1227,t1
20040503041977,48,Cluster 4  | n =  1227,t1
20040503041987,49,Cluster 1  | n =  1753,t1
20040503042018,50,Cluster 1  | n =  1753,t1
20040503042038,51,Cluster 4  | n =  1227,t1
20040503042047,52,Cluster 4  | n =  1227,t1
20040503042060,53,Cluster 1  | n =  1753,t1
20040503042194,54,Cluster 1  | n =  1753,t1
20040503042211,55,Cluster 1  | n =  1753,t1
20040503042370,56,Cluster 4  | n =  1227,t1
20040503042384,57,Cluster 4  | n =  1227,t1
20040503042393,58,Cluster 4  | n =  1227,t1
20040503042493,59,Cluster 1  | n =  1753,t1
20040503042562,60,Cluster 1  | n =  1753,t1
20040504040028,62,Cluster 2  | n =  367,t1
20040504040033,63,Cluster 1  | n =  1753,t1
20040504040061,64,Cluster 3  | n =  151,t1
20040504040068,65,Cluster 2  | n =  367,t1
20040504040069,66,Cluster 4  | n =  1227,t1
20040504040099,67,Cluster 1  | n =  1753,t1
20040504040105,68,Cluster 4  | n =  1227,t1
20040504040536,69,Cluster 1  | n =  1753,t1
20040504040540,70,Cluster 1  | n =  1753,t1
20040504040555,71,Cluster 1  | n =  1753,t1
20040504040558,72,Cluster 4  | n =  1227,t1
20040504040562,73,Cluster 2  | n =  367,t1
20040504040570,74,Cluster 4  | n =  1227,t1
20040504040571,75,Cluster 4  | n =  1227,t1
20040504040595,76,Cluster 3  | n =  151,t1
20040504040598,77,Cluster 4  | n =  1227,t1
20040504040600,78,Cluster 4  | n =  1227,t1
20040504040602,79,Cluster 3  | n =  151,t1
20040504040627,80,Cluster 4  | n =  1227,t1
20040504040666,81,Cluster 4  | n =  1227,t1
20040504040668,82,Cluster 3  | n =  151,t1
20040504040670,83,Cluster 2  | n =  367,t1
20040504040671,84,Cluster 1  | n =  1753,t1
20040504040691,85,Cluster 1  | n =  1753,t1
20040504040702,86,Cluster 4  | n =  1227,t1
20040504040714,87,Cluster 4  | n =  1227,t1
20040504040716,88,Cluster 2  | n =  367,t1
20040504040719,89,Cluster 1  | n =  1753,t1
20040504040732,90,Cluster 1  | n =  1753,t1
20040504040736,91,Cluster 4  | n =  1227,t1
20040504040760,92,Cluster 1  | n =  1753,t1
20040504040770,93,Cluster 1  | n =  1753,t1
20040504040772,94,Cluster 1  | n =  1753,t1
20040504040773,95,Cluster 1  | n =  1753,t1
20040504040774,96,Cluster 2  | n =  367,t1
20040504040780,97,Cluster 4  | n =  1227,t1
20040504040787,99,Cluster 2  | n =  367,t1
20040504040793,100,Cluster 2  | n =  367,t1
20040504040796,101,Cluster 1  | n =  1753,t1
20040504040808,102,Cluster 4  | n =  1227,t1
20040504040821,103,Cluster 4  | n =  1227,t1
20040504040825,104,Cluster 4  | n =  1227,t1
20040504040828,105,Cluster 3  | n =  151,t1
20040504040832,106,Cluster 4  | n =  1227,t1
20040504040838,107,Cluster 1  | n =  1753,t1
20040504040844,108,Cluster 1  | n =  1753,t1
20040504040846,109,Cluster 2  | n =  367,t1
20040504040855,110,Cluster 1  | n =  1753,t1
20040504040866,111,Cluster 1  | n =  1753,t1
20040504040880,112,Cluster 1  | n =  1753,t1
20040504040899,113,Cluster 4  | n =  1227,t1
20040504040900,114,Cluster 4  | n =  1227,t1
20040504040906,115,Cluster 2  | n =  367,t1
20040504040912,116,Cluster 1  | n =  1753,t1
20040504040926,117,Cluster 1  | n =  1753,t1
20040504040928,118,Cluster 4  | n =  1227,t1
20040504040931,119,Cluster 2  | n =  367,t1
20040504040939,120,Cluster 3  | n =  151,t1
20040504040947,121,Cluster 1  | n =  1753,t1
20040504040948,122,Cluster 3  | n =  151,t1
20040504040962,123,Cluster 4  | n =  1227,t1
20040504040964,124,Cluster 1  | n =  1753,t1
20040504040965,125,Cluster 1  | n =  1753,t1
20040504040966,126,Cluster 1  | n =  1753,t1
20040504040967,127,Cluster 1  | n =  1753,t1
20040504040968,128,Cluster 1  | n =  1753,t1
20040504040976,129,Cluster 3  | n =  151,t1
20040504040981,130,Cluster 4  | n =  1227,t1
20040504040986,131,Cluster 1  | n =  1753,t1
20040504040990,132,Cluster 1  | n =  1753,t1
20040504041009,133,Cluster 3  | n =  151,t1
20040504041010,134,Cluster 2  | n =  367,t1
20040504041011,135,Cluster 1  | n =  1753,t1
20040504041013,136,Cluster 4  | n =  1227,t1
20040504041050,137,Cluster 4  | n =  1227,t1
20040504041053,138,Cluster 1  | n =  1753,t1
20040504041055,139,Cluster 1  | n =  1753,t1
20040504041062,140,Cluster 4  | n =  1227,t1
20040504041066,141,Cluster 4  | n =  1227,t1
20040504041067,142,Cluster 2  | n =  367,t1
20040504041069,143,Cluster 4  | n =  1227,t1
20040504041073,144,Cluster 4  | n =  1227,t1
20040504041080,145,Cluster 1  | n =  1753,t1
20040504041087,146,Cluster 1  | n =  1753,t1
20040504041093,147,Cluster 1  | n =  1753,t1
20040504041109,148,Cluster 1  | n =  1753,t1
20040504041113,149,Cluster 1  | n =  1753,t1
20040504041115,150,Cluster 1  | n =  1753,t1
20040504041117,151,Cluster 4  | n =  1227,t1
20040504041118,152,Cluster 1  | n =  1753,t1
20040504041121,153,Cluster 4  | n =  1227,t1
20040504041123,154,Cluster 1  | n =  1753,t1
20040504041124,155,Cluster 4  | n =  1227,t1
20040504041136,156,Cluster 2  | n =  367,t1
20040504041145,157,Cluster 1  | n =  1753,t1
20040504041148,158,Cluster 4  | n =  1227,t1
20040504041159,159,Cluster 3  | n =  151,t1
20040504041164,160,Cluster 4  | n =  1227,t1
20040504041166,161,Cluster 4  | n =  1227,t1
20040504041167,162,Cluster 3  | n =  151,t1
20040504041171,163,Cluster 1  | n =  1753,t1
20040504041187,164,Cluster 2  | n =  367,t1
20040504041195,165,Cluster 4  | n =  1227,t1
20040504041200,166,Cluster 1  | n =  1753,t1
20040504041203,167,Cluster 1  | n =  1753,t1
20040504041204,168,Cluster 1  | n =  1753,t1
20040504041205,169,Cluster 1  | n =  1753,t1
20040504041208,170,Cluster 2  | n =  367,t1
20040504041216,171,Cluster 2  | n =  367,t1
20040504041229,172,Cluster 1  | n =  1753,t1
20040504041236,173,Cluster 1  | n =  1753,t1
20040504041239,174,Cluster 1  | n =  1753,t1
20040504041247,175,Cluster 1  | n =  1753,t1
20040504041258,176,Cluster 1  | n =  1753,t1
20040504041260,177,Cluster 1  | n =  1753,t1
20040504041282,178,Cluster 1  | n =  1753,t1
20040504041296,179,Cluster 1  | n =  1753,t1
20040504041300,180,Cluster 4  | n =  1227,t1
20040504041304,181,Cluster 4  | n =  1227,t1
20040504041306,182,Cluster 4  | n =  1227,t1
20040504041308,183,Cluster 1  | n =  1753,t1
20040504041309,184,Cluster 1  | n =  1753,t1
20040504041325,185,Cluster 1  | n =  1753,t1
20040504041335,186,Cluster 4  | n =  1227,t1
20040504041343,187,Cluster 4  | n =  1227,t1
20040504041347,188,Cluster 4  | n =  1227,t1
20040504041356,189,Cluster 1  | n =  1753,t1
20040504041358,190,Cluster 1  | n =  1753,t1
20040504041359,191,Cluster 1  | n =  1753,t1
20040504041363,192,Cluster 4  | n =  1227,t1
20040504041373,193,Cluster 1  | n =  1753,t1
20040504041406,194,Cluster 4  | n =  1227,t1
20040504041410,195,Cluster 4  | n =  1227,t1
20040504041422,196,Cluster 4  | n =  1227,t1
20040504041428,197,Cluster 1  | n =  1753,t1
20040504041429,198,Cluster 2  | n =  367,t1
20040504041449,199,Cluster 3  | n =  151,t1
20040504041452,200,Cluster 1  | n =  1753,t1
20040504041465,201,Cluster 4  | n =  1227,t1
20040504041476,202,Cluster 4  | n =  1227,t1
20040504041484,203,Cluster 4  | n =  1227,t1
20040504041488,204,Cluster 1  | n =  1753,t1
20040504041496,205,Cluster 1  | n =  1753,t1
20040504041498,206,Cluster 1  | n =  1753,t1
20040504041500,207,Cluster 1  | n =  1753,t1
20040504041503,208,Cluster 3  | n =  151,t1
20040504041507,209,Cluster 1  | n =  1753,t1
20040504041518,210,Cluster 1  | n =  1753,t1
20040504041520,211,Cluster 2  | n =  367,t1
20040504041522,212,Cluster 4  | n =  1227,t1
20040504041533,213,Cluster 1  | n =  1753,t1
20040504041536,214,Cluster 4  | n =  1227,t1
20040504041539,215,Cluster 4  | n =  1227,t1
20040504041540,216,Cluster 3  | n =  151,t1
20040504041542,217,Cluster 1  | n =  1753,t1
20040504041543,218,Cluster 2  | n =  367,t1
20040504041549,219,Cluster 1  | n =  1753,t1
20040504041550,220,Cluster 1  | n =  1753,t1
20040504041556,221,Cluster 1  | n =  1753,t1
20040504041560,222,Cluster 4  | n =  1227,t1
20040504041567,223,Cluster 4  | n =  1227,t1
20040504041572,224,Cluster 4  | n =  1227,t1
20040504041587,225,Cluster 4  | n =  1227,t1
20040504041591,226,Cluster 2  | n =  367,t1
20040504041596,227,Cluster 3  | n =  151,t1
20040504041600,228,Cluster 1  | n =  1753,t1
20040504041602,229,Cluster 4  | n =  1227,t1
20040504041608,230,Cluster 4  | n =  1227,t1
20040504041610,231,Cluster 3  | n =  151,t1
20040504041611,232,Cluster 3  | n =  151,t1
20040504041612,233,Cluster 4  | n =  1227,t1
20040504041619,234,Cluster 1  | n =  1753,t1
20040504041627,235,Cluster 1  | n =  1753,t1
20040504041632,236,Cluster 4  | n =  1227,t1
20040504041634,237,Cluster 1  | n =  1753,t1
20040504041656,238,Cluster 4  | n =  1227,t1
20040504041660,239,Cluster 1  | n =  1753,t1
20040504041672,240,Cluster 1  | n =  1753,t1
20040504041673,241,Cluster 3  | n =  151,t1
20040504041704,242,Cluster 1  | n =  1753,t1
20040504041705,243,Cluster 1  | n =  1753,t1
20040504041708,244,Cluster 1  | n =  1753,t1
20040504041715,245,Cluster 4  | n =  1227,t1
20040504041716,246,Cluster 4  | n =  1227,t1
20040504041727,247,Cluster 2  | n =  367,t1
20040504041729,248,Cluster 4  | n =  1227,t1
20040504041734,249,Cluster 2  | n =  367,t1
20040504041741,250,Cluster 1  | n =  1753,t1
20040504041760,251,Cluster 2  | n =  367,t1
20040504041783,252,Cluster 4  | n =  1227,t1
20040504041784,253,Cluster 1  | n =  1753,t1
20040504041789,254,Cluster 1  | n =  1753,t1
20040504041800,255,Cluster 4  | n =  1227,t1
20040504041804,256,Cluster 1  | n =  1753,t1
20040504041806,257,Cluster 4  | n =  1227,t1
20040504041812,258,Cluster 4  | n =  1227,t1
20040504041814,259,Cluster 2  | n =  367,t1
20040504041820,260,Cluster 4  | n =  1227,t1
20040504041862,261,Cluster 4  | n =  1227,t1
20040504041870,262,Cluster 1  | n =  1753,t1
20040504041871,263,Cluster 1  | n =  1753,t1
20040504041879,264,Cluster 1  | n =  1753,t1
20040504041891,265,Cluster 2  | n =  367,t1
20040504041908,266,Cluster 1  | n =  1753,t1
20040504041912,267,Cluster 4  | n =  1227,t1
20040504041917,268,Cluster 4  | n =  1227,t1
20040504041920,270,Cluster 4  | n =  1227,t1
20040504041939,271,Cluster 4  | n =  1227,t1
20040504041954,273,Cluster 1  | n =  1753,t1
20040504041957,274,Cluster 1  | n =  1753,t1
20040504041970,275,Cluster 3  | n =  151,t1
20040504041976,276,Cluster 1  | n =  1753,t1
20040504041984,277,Cluster 4  | n =  1227,t1
20040504041986,278,Cluster 1  | n =  1753,t1
20040504041987,279,Cluster 4  | n =  1227,t1
20040504042001,280,Cluster 4  | n =  1227,t1
20040504042002,281,Cluster 4  | n =  1227,t1
20040504042011,282,Cluster 1  | n =  1753,t1
20040504042030,283,Cluster 4  | n =  1227,t1
20040504042031,284,Cluster 4  | n =  1227,t1
20040504042039,285,Cluster 4  | n =  1227,t1
20040504042044,286,Cluster 1  | n =  1753,t1
20040504042045,287,Cluster 1  | n =  1753,t1
20040504042048,288,Cluster 1  | n =  1753,t1
20040504042050,289,Cluster 4  | n =  1227,t1
20040504042055,290,Cluster 4  | n =  1227,t1
20040504042070,291,Cluster 3  | n =  151,t1
20040504042071,292,Cluster 4  | n =  1227,t1
20040504042089,293,Cluster 1  | n =  1753,t1
20040504042097,294,Cluster 1  | n =  1753,t1
20040504042098,295,Cluster 4  | n =  1227,t1
20040504042101,296,Cluster 4  | n =  1227,t1
20040504042102,297,Cluster 1  | n =  1753,t1
20040504042106,298,Cluster 1  | n =  1753,t1
20040504042108,299,Cluster 4  | n =  1227,t1
20040504042110,300,Cluster 4  | n =  1227,t1
20040504042131,301,Cluster 1  | n =  1753,t1
20040504042157,302,Cluster 1  | n =  1753,t1
20040504042159,303,Cluster 1  | n =  1753,t1
20040504042160,304,Cluster 4  | n =  1227,t1
20040504042174,305,Cluster 4  | n =  1227,t1
20040504042187,306,Cluster 1  | n =  1753,t1
20040504042196,307,Cluster 1  | n =  1753,t1
20040504042202,308,Cluster 4  | n =  1227,t1
20040504042217,309,Cluster 1  | n =  1753,t1
20040504042223,310,Cluster 1  | n =  1753,t1
20040504042244,311,Cluster 2  | n =  367,t1
20040504042247,312,Cluster 4  | n =  1227,t1
20040504042255,313,Cluster 4  | n =  1227,t1
20040504042256,314,Cluster 4  | n =  1227,t1
20040504042258,315,Cluster 1  | n =  1753,t1
20040504042272,316,Cluster 1  | n =  1753,t1
20040504042285,317,Cluster 4  | n =  1227,t1
20040504042288,318,Cluster 4  | n =  1227,t1
20040504042292,319,Cluster 1  | n =  1753,t1
20040504042312,320,Cluster 1  | n =  1753,t1
20040504042313,321,Cluster 1  | n =  1753,t1
20040504042316,322,Cluster 4  | n =  1227,t1
20040504042317,323,Cluster 3  | n =  151,t1
20040504042330,324,Cluster 1  | n =  1753,t1
20040504042338,325,Cluster 1  | n =  1753,t1
20040504042343,326,Cluster 1  | n =  1753,t1
20040504042349,327,Cluster 2  | n =  367,t1
20040504042387,328,Cluster 4  | n =  1227,t1
20040504042391,329,Cluster 1  | n =  1753,t1
20040504042399,330,Cluster 1  | n =  1753,t1
20040504042403,331,Cluster 4  | n =  1227,t1
20040504042405,332,Cluster 1  | n =  1753,t1
20040504042409,333,Cluster 2  | n =  367,t1
20040504042412,334,Cluster 1  | n =  1753,t1
20040504042413,335,Cluster 4  | n =  1227,t1
20040504042436,336,Cluster 1  | n =  1753,t1
20040504042439,337,Cluster 3  | n =  151,t1
20040504042445,338,Cluster 1  | n =  1753,t1
20040504042454,339,Cluster 1  | n =  1753,t1
20040504042456,340,Cluster 3  | n =  151,t1
20040504042464,341,Cluster 4  | n =  1227,t1
20040504042466,342,Cluster 4  | n =  1227,t1
20040504042468,343,Cluster 2  | n =  367,t1
20040504042469,344,Cluster 1  | n =  1753,t1
20040504042475,345,Cluster 1  | n =  1753,t1
20040504042494,346,Cluster 4  | n =  1227,t1
20040504042496,347,Cluster 4  | n =  1227,t1
20040504042503,348,Cluster 1  | n =  1753,t1
20040504042506,349,Cluster 4  | n =  1227,t1
20040504042507,350,Cluster 2  | n =  367,t1
20040504042509,351,Cluster 3  | n =  151,t1
20040504042514,352,Cluster 1  | n =  1753,t1
