ID,quarter,year,age,sex,race,fam_income,has_partner,education,n_child,age_youngest,region,partner_working,elder_in_HH,metropolitan,treatment,pair_id
20200705200530,3,2020,43,female,black,35000,FALSE,Bachelors,1,0,Northeast,"NA",TRUE,metropolitan,TRUE,1
20200705200652,3,2020,27,male,white,30000,TRUE,HS,2,5,Midwest,employed,FALSE,metropolitan,TRUE,2
20200705200672,3,2020,37,male,asian,75000,TRUE,Bachelors,2,2,South,employed,FALSE,metropolitan,TRUE,3
20200705200754,3,2020,38,female,black,7500,FALSE,Some college,2,10,South,"NA",FALSE,metropolitan,TRUE,4
20200705200840,3,2020,41,male,white,150000,TRUE,Bachelors,3,6,South,not employed,FALSE,metropolitan,TRUE,5
20200705201100,3,2020,38,male,white,150000,TRUE,Some college,2,8,Northeast,employed,FALSE,metropolitan,TRUE,6
20200705201197,3,2020,36,male,white,100000,TRUE,Bachelors,2,5,Midwest,not employed,FALSE,metropolitan,TRUE,7
20200705201305,3,2020,31,female,white,150000,TRUE,Some college,1,1,Midwest,employed,FALSE,metropolitan,TRUE,8
20200705201371,3,2020,39,female,white,35000,FALSE,Some college,2,3,Northeast,"NA",FALSE,metropolitan,TRUE,9
20200705201392,3,2020,35,male,white,100000,TRUE,HS,2,7,South,employed,FALSE,metropolitan,TRUE,10
20200705201505,3,2020,32,female,white,40000,FALSE,Some college,3,8,Midwest,"NA",FALSE,non-metropolitan,TRUE,11
20200705201513,3,2020,32,male,white,100000,TRUE,Bachelors,2,1,South,not employed,FALSE,metropolitan,TRUE,12
20200705201675,3,2020,31,male,white,150000,TRUE,Bachelors,1,1,West,not employed,FALSE,metropolitan,TRUE,13
20200706200061,3,2020,25,female,white,75000,FALSE,Bachelors,1,4,South,"NA",FALSE,non-metropolitan,TRUE,14
20200706200198,3,2020,21,male,white,75000,FALSE,Did not graduate from HS,4,3,West,"NA",TRUE,metropolitan,TRUE,16
20200706200200,3,2020,20,female,white,50000,TRUE,HS,1,0,South,employed,FALSE,metropolitan,TRUE,17
20200706200234,3,2020,16,male,white,15000,FALSE,Did not graduate from HS,2,12,South,"NA",TRUE,metropolitan,TRUE,19
20200706200503,3,2020,37,female,asian,75000,TRUE,Bachelors,1,1,South,employed,FALSE,metropolitan,TRUE,20
20200706200505,3,2020,41,male,black,75000,TRUE,Bachelors,1,9,South,employed,FALSE,metropolitan,TRUE,21
20200706200541,3,2020,31,female,white,50000,TRUE,HS,2,0,West,employed,FALSE,metropolitan,TRUE,22
20200706200608,3,2020,42,male,white,100000,TRUE,Some college,3,4,West,employed,FALSE,metropolitan,TRUE,23
20200706200630,3,2020,40,female,white,150000,TRUE,Masters,2,8,West,employed,FALSE,metropolitan,TRUE,24
20200706200631,3,2020,28,male,white,100000,TRUE,Bachelors,1,7,South,employed,FALSE,metropolitan,TRUE,25
20200706200657,3,2020,39,male,white,150000,TRUE,Doctoral,2,7,Midwest,not employed,FALSE,metropolitan,TRUE,26
20200706200659,3,2020,43,female,white,35000,FALSE,Some college,2,7,West,"NA",FALSE,metropolitan,TRUE,27
20200706200707,3,2020,39,female,white,100000,TRUE,Bachelors,3,6,West,employed,FALSE,metropolitan,TRUE,29
20200706200758,3,2020,35,female,white,100000,TRUE,Some college,3,1,Midwest,not employed,FALSE,metropolitan,TRUE,30
20200706200763,3,2020,62,female,white,30000,FALSE,Did not graduate from HS,4,1,Midwest,"NA",FALSE,metropolitan,TRUE,31
20200706200781,3,2020,40,male,white,100000,TRUE,Masters,2,11,Midwest,employed,FALSE,non-metropolitan,TRUE,32
20200706200836,3,2020,38,female,asian,150000,TRUE,Masters,4,3,Midwest,employed,FALSE,metropolitan,TRUE,34
20200706200912,3,2020,48,male,white,100000,TRUE,Some college,2,12,West,employed,FALSE,non-metropolitan,TRUE,35
20200706200947,3,2020,47,female,white,40000,FALSE,Some college,2,7,West,"NA",FALSE,metropolitan,TRUE,36
20200706200975,3,2020,38,male,white,150000,TRUE,Bachelors,1,2,South,employed,FALSE,metropolitan,TRUE,37
20200706200980,3,2020,35,female,white,30000,FALSE,HS,1,12,Northeast,"NA",FALSE,non-metropolitan,TRUE,38
20200706201038,3,2020,32,female,black,30000,FALSE,Bachelors,2,7,South,"NA",FALSE,metropolitan,TRUE,39
20200706201043,3,2020,31,male,white,60000,TRUE,Some college,1,1,West,employed,FALSE,metropolitan,TRUE,40
20200706201067,3,2020,37,male,white,50000,TRUE,HS,2,9,Northeast,not employed,FALSE,metropolitan,TRUE,42
20200706201147,3,2020,26,female,white,60000,FALSE,HS,1,2,Northeast,"NA",TRUE,non-metropolitan,TRUE,43
20200706201148,3,2020,39,female,white,150000,TRUE,Bachelors,2,3,Northeast,employed,FALSE,metropolitan,TRUE,44
20200706201212,3,2020,38,female,white,100000,FALSE,Some college,2,11,West,"NA",FALSE,metropolitan,TRUE,45
20200706201219,3,2020,38,male,white,40000,TRUE,Did not graduate from HS,1,5,South,not employed,TRUE,metropolitan,TRUE,46
20200706201222,3,2020,27,male,white,35000,TRUE,Some college,2,0,West,employed,FALSE,metropolitan,TRUE,47
20200706201233,3,2020,35,female,white,50000,TRUE,HS,3,6,South,employed,FALSE,metropolitan,TRUE,49
20200706201238,3,2020,36,female,white,75000,TRUE,Bachelors,1,8,South,employed,FALSE,metropolitan,TRUE,50
20200706201275,3,2020,29,female,white,60000,TRUE,Some college,1,1,Midwest,employed,FALSE,metropolitan,TRUE,51
20200706201334,3,2020,31,female,black,30000,FALSE,HS,2,9,South,"NA",FALSE,metropolitan,TRUE,52
20200706201338,3,2020,32,male,asian,0,TRUE,Some college,2,0,West,not employed,FALSE,metropolitan,TRUE,53
20200706201354,3,2020,42,female,white,50000,TRUE,Masters,2,3,South,employed,FALSE,metropolitan,TRUE,54
20200706201366,3,2020,42,female,white,150000,TRUE,Masters,2,8,West,employed,FALSE,metropolitan,TRUE,55
20200706201375,3,2020,41,female,white,75000,TRUE,HS,2,7,South,employed,FALSE,non-metropolitan,TRUE,56
20200706201384,3,2020,29,female,white,75000,TRUE,Masters,1,0,West,employed,FALSE,metropolitan,TRUE,57
20200706201411,3,2020,32,male,white,35000,TRUE,HS,2,1,Northeast,employed,FALSE,metropolitan,TRUE,58
20200706201425,3,2020,70,female,white,150000,TRUE,Masters,2,0,South,employed,FALSE,metropolitan,TRUE,59
20200706201463,3,2020,42,female,white,150000,TRUE,Masters,2,7,Midwest,employed,FALSE,metropolitan,TRUE,60
20200706201480,3,2020,42,male,asian,100000,TRUE,Masters,2,9,Midwest,not employed,FALSE,metropolitan,TRUE,61
20200706201492,3,2020,51,male,white,50000,TRUE,HS,2,12,West,not employed,FALSE,metropolitan,TRUE,62
20200706201513,3,2020,33,male,white,150000,TRUE,Bachelors,1,1,South,employed,FALSE,metropolitan,TRUE,63
20200706201642,3,2020,30,male,white,35000,FALSE,Some college,1,2,West,"NA",TRUE,metropolitan,TRUE,64
20200706201652,3,2020,50,female,white,100000,TRUE,Bachelors,2,10,West,employed,FALSE,metropolitan,TRUE,65
20200706201670,3,2020,29,female,white,60000,TRUE,Bachelors,2,4,South,employed,FALSE,metropolitan,TRUE,66
20200706201672,3,2020,37,female,white,75000,TRUE,Some college,2,1,South,employed,FALSE,metropolitan,TRUE,67
20200706201676,3,2020,33,female,white,20000,FALSE,Some college,3,3,South,"NA",FALSE,metropolitan,TRUE,68
20200706201689,3,2020,36,female,white,10000,TRUE,Some college,2,5,South,not employed,FALSE,metropolitan,TRUE,69
20200706201730,3,2020,35,female,other,35000,FALSE,HS,1,8,West,"NA",FALSE,non-metropolitan,TRUE,70
20200706201781,3,2020,45,male,white,12500,FALSE,Some college,1,6,South,"NA",FALSE,non-metropolitan,TRUE,71
20200706201795,3,2020,32,female,white,100000,TRUE,Some college,2,1,South,employed,FALSE,metropolitan,TRUE,72
20200706201815,3,2020,25,female,white,35000,TRUE,Some college,1,0,South,employed,FALSE,metropolitan,TRUE,74
20200706201822,3,2020,34,male,white,75000,TRUE,HS,2,2,Northeast,employed,FALSE,metropolitan,TRUE,75
20200706201845,3,2020,29,male,white,40000,TRUE,HS,1,5,South,not employed,FALSE,metropolitan,TRUE,76
20200706201928,3,2020,40,female,asian,75000,TRUE,Masters,3,7,West,not employed,FALSE,metropolitan,TRUE,77
20200706201935,3,2020,33,male,asian,75000,TRUE,HS,1,0,Northeast,employed,FALSE,metropolitan,TRUE,78
20200706201947,3,2020,39,female,black,40000,FALSE,HS,2,12,South,"NA",FALSE,non-metropolitan,TRUE,79
