ID,year,age,sex,race,fam_income,has_partner,education,child_in_HH,n_child,age_youngest,region,partner_working,elder_in_HH,metropolitan,labor_force_status,treatment,pair_id
20070502070072,2007,51,female,white,12500,FALSE,HS,FALSE,0,0,Midwest,"NA",FALSE,metropolitan,not in labor force,FALSE,NA
20070502070510,2007,52,female,black,20000,FALSE,Masters,FALSE,0,0,South,"NA",FALSE,metropolitan,unemployed - looking,FALSE,NA
20070503070003,2007,63,female,black,5000,FALSE,Did not graduate from HS,TRUE,1,12,South,"NA",FALSE,non-metropolitan,not in labor force,FALSE,NA
20070503070015,2007,65,female,white,20000,FALSE,HS,FALSE,0,0,South,"NA",FALSE,metropolitan,employed - at work,FALSE,NA
20070503070502,2007,30,female,white,10000,FALSE,HS,TRUE,1,3,South,"NA",FALSE,metropolitan,employed - absent,FALSE,NA
20070503070609,2007,44,female,white,150000,TRUE,Masters,TRUE,2,5,West,employed,FALSE,metropolitan,not in labor force,FALSE,NA
20070503070622,2007,50,male,white,40000,FALSE,Some college,FALSE,0,0,West,"NA",FALSE,metropolitan,unemployed - on layoff,FALSE,NA
20070503070641,2007,47,female,white,60000,TRUE,HS,TRUE,1,15,West,employed,TRUE,metropolitan,employed - at work,FALSE,NA
20070503070670,2007,45,male,white,15000,TRUE,Some college,TRUE,3,2,West,not employed,FALSE,metropolitan,employed - at work,FALSE,NA
20070503070746,2007,60,male,white,50000,TRUE,Some college,FALSE,0,0,West,not employed,FALSE,metropolitan,employed - at work,FALSE,NA
20070503070793,2007,54,male,white,100000,TRUE,Bachelors,TRUE,1,6,West,employed,FALSE,metropolitan,employed - at work,FALSE,NA
20070503070808,2007,51,female,white,30000,FALSE,Some college,TRUE,1,15,West,"NA",FALSE,metropolitan,employed - at work,FALSE,NA
20070503070851,2007,46,female,white,20000,TRUE,Some college,FALSE,0,0,West,not employed,FALSE,metropolitan,employed - at work,FALSE,NA
20070503070872,2007,30,female,white,50000,TRUE,Bachelors,TRUE,3,3,South,employed,FALSE,metropolitan,employed - at work,FALSE,NA
20070503070874,2007,72,female,black,30000,FALSE,Some college,FALSE,0,0,South,"NA",FALSE,metropolitan,employed - at work,FALSE,NA
20070503070875,2007,77,female,white,50000,TRUE,Bachelors,FALSE,0,0,South,not employed,FALSE,metropolitan,not in labor force,FALSE,NA
20070503071077,2007,70,female,white,7500,FALSE,HS,FALSE,0,0,Midwest,"NA",FALSE,metropolitan,not in labor force,FALSE,NA
20070503071109,2007,56,male,black,150000,TRUE,Bachelors,FALSE,0,0,Midwest,employed,FALSE,metropolitan,employed - at work,FALSE,NA
20070503071117,2007,31,female,white,60000,TRUE,Bachelors,FALSE,0,0,Midwest,employed,FALSE,metropolitan,employed - at work,FALSE,NA
20070503071150,2007,37,male,white,10000,TRUE,HS,TRUE,2,7,Midwest,employed,FALSE,metropolitan,employed - at work,FALSE,NA
20070503071165,2007,30,female,white,75000,TRUE,HS,TRUE,1,5,Midwest,employed,FALSE,metropolitan,employed - at work,FALSE,NA
20070503071189,2007,33,male,white,60000,TRUE,HS,TRUE,3,6,Midwest,employed,FALSE,metropolitan,employed - at work,FALSE,NA
20070503071193,2007,39,female,black,40000,FALSE,Doctoral,TRUE,1,0,Midwest,"NA",FALSE,metropolitan,employed - at work,FALSE,NA
20070503071212,2007,26,male,white,10000,TRUE,HS,TRUE,1,9,Midwest,not employed,FALSE,non-metropolitan,employed - at work,FALSE,NA
20070503071270,2007,42,female,black,100000,TRUE,Masters,FALSE,0,0,South,employed,FALSE,metropolitan,employed - at work,FALSE,NA
20070503071308,2007,25,male,white,60000,TRUE,Some college,FALSE,0,0,Northeast,employed,FALSE,metropolitan,employed - at work,FALSE,NA
