ID,pair_id,cluster,time
20170502170524,1,Cluster 1  |  n = 1381,t1
20170502170622,2,Cluster 2  |  n = 333,t1
20170502171004,3,Cluster 3  |  n = 1359,t1
20170502171182,4,Cluster 1  |  n = 1381,t1
20170502171204,5,Cluster 1  |  n = 1381,t1
20170502171467,6,Cluster 2  |  n = 333,t1
20170502171797,7,Cluster 3  |  n = 1359,t1
20170502172023,8,Cluster 1  |  n = 1381,t1
20170502172167,9,Cluster 2  |  n = 333,t1
20170503170568,10,Cluster 3  |  n = 1359,t1
20170503170656,11,Cluster 3  |  n = 1359,t1
20170503170679,12,Cluster 1  |  n = 1381,t1
20170503170685,13,Cluster 3  |  n = 1359,t1
20170503170716,14,Cluster 3  |  n = 1359,t1
20170503170773,15,Cluster 1  |  n = 1381,t1
20170503170805,16,Cluster 1  |  n = 1381,t1
20170503170875,17,Cluster 1  |  n = 1381,t1
20170503170908,18,Cluster 1  |  n = 1381,t1
20170503170946,19,Cluster 3  |  n = 1359,t1
20170503170956,20,Cluster 3  |  n = 1359,t1
20170503170972,21,Cluster 3  |  n = 1359,t1
20170503170998,22,Cluster 3  |  n = 1359,t1
20170503171038,23,Cluster 1  |  n = 1381,t1
20170503171089,24,Cluster 1  |  n = 1381,t1
20170503171094,25,Cluster 1  |  n = 1381,t1
20170503171096,26,Cluster 3  |  n = 1359,t1
20170503171236,27,Cluster 3  |  n = 1359,t1
20170503171246,28,Cluster 3  |  n = 1359,t1
20170503171287,29,Cluster 1  |  n = 1381,t1
20170503171349,30,Cluster 1  |  n = 1381,t1
20170503171370,31,Cluster 1  |  n = 1381,t1
20170503171384,32,Cluster 1  |  n = 1381,t1
20170503171387,33,Cluster 3  |  n = 1359,t1
20170503171412,34,Cluster 1  |  n = 1381,t1
20170503171432,35,Cluster 3  |  n = 1359,t1
20170503171433,36,Cluster 3  |  n = 1359,t1
20170503171464,37,Cluster 3  |  n = 1359,t1
20170503171468,38,Cluster 1  |  n = 1381,t1
20170503171491,39,Cluster 1  |  n = 1381,t1
20170503171525,40,Cluster 1  |  n = 1381,t1
20170503171561,41,Cluster 1  |  n = 1381,t1
20170503171563,42,Cluster 3  |  n = 1359,t1
20170503171596,43,Cluster 1  |  n = 1381,t1
20170503171609,44,Cluster 1  |  n = 1381,t1
20170503171628,45,Cluster 3  |  n = 1359,t1
20170503171646,46,Cluster 3  |  n = 1359,t1
20170503171657,47,Cluster 3  |  n = 1359,t1
20170503171667,48,Cluster 1  |  n = 1381,t1
20170503171678,49,Cluster 3  |  n = 1359,t1
20170503171698,50,Cluster 3  |  n = 1359,t1
20170503171729,51,Cluster 1  |  n = 1381,t1
20170503171733,52,Cluster 1  |  n = 1381,t1
20170503171749,53,Cluster 1  |  n = 1381,t1
20170503171756,54,Cluster 1  |  n = 1381,t1
20170503171775,55,Cluster 3  |  n = 1359,t1
20170503171793,56,Cluster 1  |  n = 1381,t1
20170503171811,57,Cluster 3  |  n = 1359,t1
20170503171829,58,Cluster 2  |  n = 333,t1
20170503171892,59,Cluster 3  |  n = 1359,t1
20170503171972,60,Cluster 1  |  n = 1381,t1
20170503172044,61,Cluster 1  |  n = 1381,t1
20170503172045,62,Cluster 1  |  n = 1381,t1
20170503172086,63,Cluster 3  |  n = 1359,t1
20170503172087,64,Cluster 1  |  n = 1381,t1
20170503172093,65,Cluster 2  |  n = 333,t1
20170503172159,66,Cluster 3  |  n = 1359,t1
20170503172167,67,Cluster 1  |  n = 1381,t1
20170503172170,68,Cluster 3  |  n = 1359,t1
20170503172178,69,Cluster 1  |  n = 1381,t1
20170503172191,70,Cluster 2  |  n = 333,t1
20170503172220,71,Cluster 1  |  n = 1381,t1
20170503172253,72,Cluster 1  |  n = 1381,t1
20170503172260,73,Cluster 2  |  n = 333,t1
20170503172285,74,Cluster 2  |  n = 333,t1
20170503172289,75,Cluster 2  |  n = 333,t1
20170503172314,76,Cluster 1  |  n = 1381,t1
20170503172373,77,Cluster 1  |  n = 1381,t1
20170503172402,78,Cluster 1  |  n = 1381,t1
20170503172406,79,Cluster 3  |  n = 1359,t1
20170503172416,80,Cluster 3  |  n = 1359,t1
20170503172417,81,Cluster 1  |  n = 1381,t1
