ID,year,age,sex,race,fam_income,has_partner,education,child_in_HH,n_child,age_youngest,region,labor_force_status,partner_working,elder_in_HH,metropolitan,treatment,pair_id
20150806151775,2015,64,male,white,150000,TRUE,Some college,FALSE,0,0,Northeast,unemployed - looking,employed,FALSE,metropolitan,FALSE,1
20150807151851,2015,26,female,white,75000,TRUE,Some college,TRUE,2,7,South,employed - at work,"NA",FALSE,metropolitan,FALSE,2
20150908150582,2015,50,female,black,25000,FALSE,Some college,FALSE,0,0,Midwest,employed - at work,"NA",FALSE,metropolitan,FALSE,3
20150606152242,2015,69,male,white,50000,FALSE,Some college,FALSE,0,0,West,not in labor force,"NA",FALSE,metropolitan,FALSE,4
20150605151457,2015,50,female,black,10000,FALSE,HS,TRUE,2,1,South,employed - at work,"NA",FALSE,non-metropolitan,FALSE,5
20151212152025,2015,31,male,asian,100000,TRUE,Bachelors,TRUE,1,0,Midwest,employed - at work,not employed,FALSE,metropolitan,FALSE,6
20150807152450,2015,33,female,white,40000,TRUE,Some college,TRUE,2,4,Midwest,employed - at work,employed,FALSE,non-metropolitan,FALSE,7
20150404151697,2015,80,male,white,15000,TRUE,Masters,FALSE,0,0,Northeast,not in labor force,not employed,FALSE,non-metropolitan,FALSE,8
20150112140692,2015,48,male,white,35000,FALSE,Bachelors,FALSE,0,0,South,employed - at work,"NA",FALSE,metropolitan,FALSE,9
20150706152097,2015,60,female,white,75000,TRUE,Some college,FALSE,0,0,South,employed - absent,employed,FALSE,metropolitan,FALSE,10
20150201151884,2015,57,female,white,150000,TRUE,Masters,FALSE,0,0,Northeast,employed - at work,employed,FALSE,metropolitan,FALSE,11
20150807151729,2015,26,female,white,100000,TRUE,Bachelors,FALSE,0,0,South,unemployed - looking,"NA",TRUE,metropolitan,FALSE,12
20150807150716,2015,36,male,white,75000,FALSE,Masters,FALSE,0,0,West,employed - at work,"NA",FALSE,metropolitan,FALSE,13
20150112140633,2015,47,male,white,100000,FALSE,Masters,FALSE,0,0,Midwest,employed - at work,"NA",FALSE,metropolitan,FALSE,14
20150605152459,2015,53,female,other,25000,FALSE,HS,TRUE,2,9,Northeast,not in labor force,"NA",FALSE,non-metropolitan,FALSE,15
20150908150053,2015,80,female,white,75000,FALSE,Some college,FALSE,0,0,South,not in labor force,"NA",FALSE,metropolitan,FALSE,16
20150807152043,2015,31,female,black,7500,FALSE,Some college,TRUE,6,7,Midwest,unemployed - looking,"NA",FALSE,metropolitan,FALSE,17
20150201150767,2015,49,male,white,60000,TRUE,Some college,TRUE,1,14,Northeast,employed - at work,not employed,FALSE,metropolitan,FALSE,18
20150404152183,2015,67,female,white,10000,FALSE,HS,FALSE,0,0,Northeast,not in labor force,"NA",FALSE,metropolitan,FALSE,19
20150401150837,2015,22,male,white,35000,TRUE,HS,FALSE,0,0,Northeast,employed - at work,employed,FALSE,non-metropolitan,FALSE,20
20150112141363,2015,73,male,white,35000,TRUE,Some college,FALSE,0,0,Midwest,not in labor force,not employed,FALSE,metropolitan,FALSE,21
20151010152181,2015,55,female,white,35000,FALSE,HS,FALSE,0,0,Midwest,employed - at work,"NA",FALSE,non-metropolitan,FALSE,22
20150402152053,2015,54,male,white,7500,TRUE,Did not graduate from HS,FALSE,0,0,South,employed - at work,not employed,FALSE,metropolitan,FALSE,23
20150908152516,2015,36,male,asian,60000,TRUE,Some college,TRUE,3,6,Midwest,employed - at work,employed,FALSE,metropolitan,FALSE,24
20150504151206,2015,72,male,white,20000,FALSE,Bachelors,FALSE,0,0,West,not in labor force,"NA",FALSE,metropolitan,FALSE,25
20151110150624,2015,77,male,white,15000,FALSE,Did not graduate from HS,FALSE,0,0,Midwest,not in labor force,"NA",FALSE,metropolitan,FALSE,26
20150504150954,2015,51,female,white,12500,FALSE,HS,TRUE,2,11,West,employed - at work,"NA",FALSE,metropolitan,FALSE,27
20150505150538,2015,57,female,white,10000,FALSE,Bachelors,FALSE,0,0,South,not in labor force,"NA",FALSE,metropolitan,FALSE,28
20150201150002,2015,28,female,white,50000,FALSE,Masters,FALSE,0,0,Northeast,employed - at work,"NA",FALSE,metropolitan,FALSE,29
20150706150653,2015,50,female,white,40000,FALSE,Bachelors,TRUE,2,9,Northeast,employed - at work,"NA",FALSE,metropolitan,FALSE,30
20150201151042,2015,29,male,white,75000,FALSE,Bachelors,FALSE,0,0,South,employed - at work,"NA",FALSE,metropolitan,FALSE,31
20150605152259,2015,17,female,white,75000,TRUE,Did not graduate from HS,TRUE,1,17,Midwest,not in labor force,"NA",TRUE,non-metropolitan,FALSE,32
20150504151238,2015,40,male,white,30000,TRUE,Some college,FALSE,0,0,South,unemployed - looking,employed,FALSE,metropolitan,FALSE,33
20150605151888,2015,35,male,white,25000,FALSE,HS,FALSE,0,0,Midwest,not in labor force,"NA",TRUE,non-metropolitan,FALSE,34
20150808152496,2015,33,female,white,75000,TRUE,Bachelors,TRUE,1,1,Northeast,employed - at work,employed,FALSE,metropolitan,FALSE,35
20150504150831,2015,18,female,white,100000,TRUE,Did not graduate from HS,TRUE,2,14,Midwest,employed - at work,"NA",TRUE,metropolitan,FALSE,36
20150302151077,2015,28,male,white,40000,TRUE,Some college,FALSE,0,0,Midwest,unemployed - looking,employed,FALSE,metropolitan,FALSE,37
20150112140796,2015,60,male,black,50000,FALSE,HS,FALSE,0,0,Northeast,employed - at work,"NA",FALSE,metropolitan,FALSE,38
20151210150992,2015,59,male,white,7500,FALSE,Did not graduate from HS,FALSE,0,0,South,not in labor force,"NA",FALSE,non-metropolitan,FALSE,39
20151210152221,2015,35,female,other,10000,FALSE,Some college,TRUE,2,7,South,employed - at work,"NA",FALSE,metropolitan,FALSE,40
20150202152258,2015,71,female,white,12500,TRUE,Did not graduate from HS,FALSE,0,0,South,not in labor force,not employed,FALSE,metropolitan,FALSE,41
20150201152017,2015,26,male,white,20000,FALSE,Bachelors,FALSE,0,0,West,employed - at work,"NA",FALSE,metropolitan,FALSE,42
20150706151704,2015,41,female,white,30000,FALSE,Bachelors,FALSE,0,0,South,employed - at work,"NA",FALSE,metropolitan,FALSE,43
20150111140962,2015,56,male,white,40000,TRUE,HS,FALSE,0,0,Northeast,employed - at work,not employed,FALSE,metropolitan,FALSE,44
20150908151204,2015,35,female,white,75000,TRUE,Masters,TRUE,2,4,Midwest,employed - at work,employed,FALSE,non-metropolitan,FALSE,45
20150403151296,2015,65,male,white,50000,TRUE,HS,FALSE,0,0,Northeast,not in labor force,employed,FALSE,metropolitan,FALSE,46
20150112142415,2015,67,female,white,12500,FALSE,Some college,FALSE,0,0,West,unemployed - looking,"NA",FALSE,metropolitan,FALSE,47
20150907152313,2015,39,female,white,50000,TRUE,Some college,TRUE,1,5,South,not in labor force,employed,FALSE,metropolitan,FALSE,48
20151210151821,2015,40,male,white,75000,TRUE,Bachelors,TRUE,2,6,Northeast,employed - at work,employed,FALSE,metropolitan,FALSE,49
20150201151425,2015,66,male,white,30000,TRUE,Did not graduate from HS,FALSE,0,0,South,employed - at work,employed,FALSE,metropolitan,FALSE,50
20150403151107,2015,16,male,white,50000,TRUE,Did not graduate from HS,TRUE,4,4,Midwest,employed - at work,"NA",TRUE,non-metropolitan,FALSE,51
20151008150810,2015,34,male,black,75000,FALSE,Masters,FALSE,0,0,South,employed - at work,"NA",FALSE,metropolitan,FALSE,52
20150503150540,2015,32,male,white,75000,TRUE,Bachelors,FALSE,0,0,South,employed - at work,employed,FALSE,metropolitan,FALSE,53
20151211151866,2015,62,female,white,60000,FALSE,Some college,FALSE,0,0,Northeast,employed - at work,"NA",FALSE,metropolitan,FALSE,54
