ID,year,age,sex,race,fam_income,has_partner,education,child_in_HH,n_child,age_youngest,region,partner_working,elder_in_HH,metropolitan
20180502182197,2018,49,female,black,100000,TRUE,HS,FALSE,0,0,West,employed,FALSE,metropolitan
20180502182371,2018,30,male,white,30000,TRUE,Masters,TRUE,2,1,South,employed,FALSE,non-metropolitan
20180503180584,2018,78,female,black,15000,FALSE,Some college,FALSE,0,0,Midwest,"NA",FALSE,metropolitan
20180503180597,2018,67,female,white,75000,FALSE,Some college,FALSE,0,0,West,"NA",FALSE,metropolitan
20180503180702,2018,31,male,white,15000,TRUE,HS,TRUE,1,1,Midwest,employed,FALSE,metropolitan
20180503180745,2018,76,male,white,35000,FALSE,Masters,FALSE,0,0,West,"NA",FALSE,metropolitan
20180503180766,2018,57,female,asian,60000,TRUE,Bachelors,FALSE,0,0,West,not employed,TRUE,metropolitan
20180503180873,2018,33,male,white,75000,FALSE,HS,TRUE,1,9,Midwest,"NA",FALSE,metropolitan
20180503180890,2018,43,male,white,0,TRUE,Did not graduate from HS,TRUE,2,15,Midwest,employed,FALSE,metropolitan
20180503181074,2018,59,female,white,150000,TRUE,Bachelors,FALSE,0,0,Midwest,not employed,FALSE,metropolitan
20180503181292,2018,48,male,white,75000,TRUE,Bachelors,TRUE,2,7,South,employed,FALSE,metropolitan
20180503181401,2018,63,female,black,5000,FALSE,Did not graduate from HS,TRUE,2,13,South,"NA",FALSE,metropolitan
20180503181612,2018,41,female,white,150000,TRUE,Masters,TRUE,1,3,South,employed,FALSE,metropolitan
20180503181621,2018,51,female,white,100000,TRUE,Some college,FALSE,0,0,South,employed,FALSE,non-metropolitan
20180503181688,2018,64,male,white,60000,TRUE,Bachelors,FALSE,0,0,Midwest,employed,FALSE,metropolitan
20180503181732,2018,26,female,white,100000,TRUE,Bachelors,FALSE,0,0,Midwest,employed,FALSE,metropolitan
20180503181783,2018,22,female,other,5000,TRUE,HS,TRUE,1,2,West,employed,FALSE,non-metropolitan
20180503181807,2018,47,male,white,20000,TRUE,Some college,TRUE,2,13,South,not employed,TRUE,metropolitan
20180503181816,2018,42,male,white,150000,TRUE,Bachelors,FALSE,0,0,Northeast,employed,FALSE,metropolitan
20180503181840,2018,34,male,white,150000,TRUE,Bachelors,TRUE,1,8,West,employed,FALSE,metropolitan
20180503182168,2018,25,male,white,35000,TRUE,Some college,FALSE,0,0,Midwest,employed,FALSE,metropolitan
20180503182200,2018,54,female,white,35000,FALSE,Bachelors,TRUE,1,6,West,"NA",FALSE,non-metropolitan
20180503182276,2018,56,male,white,60000,TRUE,Did not graduate from HS,TRUE,2,8,South,not employed,FALSE,non-metropolitan
